Report_No,Pick_Date,Pick_Time,Emp_ID
1,2020-01-9,5:35:31,4
2,2020-01-9,11:0:46,5
3,2020-01-9,2:6:16,4
4,2020-01-9,4:28:34,4
5,2020-01-9,1:15:26,5
6,2020-01-9,4:32:47,2
7,2020-01-10,9:49:49,1
8,2020-01-9,6:0:38,1
9,2020-01-9,4:42:46,3
10,2020-01-9,0:31:9,2
11,2020-01-9,20:43:53,5
12,2020-01-9,1:34:41,5
13,2020-01-10,9:39:42,1
14,2020-01-10,13:7:49,3
15,2020-01-10,14:54:6,3
16,2020-01-10,22:56:22,4
17,2020-01-10,2:25:21,4
18,2020-01-10,4:57:34,5
19,2020-01-10,1:19:40,2
20,2020-01-10,13:25:17,5
21,2020-01-10,2:7:42,3
22,2020-01-10,5:55:23,4
23,2020-01-11,18:24:26,5
24,2020-01-10,20:42:59,1
25,2020-01-10,17:0:3,1
26,2020-01-11,0:18:11,1
27,2020-01-11,9:11:56,2
28,2020-01-11,20:57:51,4
29,2020-01-11,16:46:15,3
30,2020-01-11,1:33:32,3
31,2020-01-11,12:14:58,1
32,2020-01-11,17:45:29,1
33,2020-01-11,9:34:28,1
34,2020-01-11,16:53:4,2
35,2020-01-12,22:48:9,2
36,2020-01-11,22:9:31,5
37,2020-01-11,10:33:18,5
38,2020-01-11,9:55:19,3
39,2020-01-11,22:19:7,5
40,2020-01-12,10:24:9,5
41,2020-01-12,23:41:17,3
42,2020-01-12,18:8:28,3
43,2020-01-12,22:56:56,3
44,2020-01-12,19:51:0,4
45,2020-01-12,6:13:18,4
46,2020-01-12,2:16:43,5
47,2020-01-12,4:4:12,3
48,2020-01-12,4:3:12,3
49,2020-01-12,15:2:15,4
50,2020-01-12,4:22:11,1
51,2020-01-12,17:44:57,4
52,2020-01-12,10:46:45,1
53,2020-01-12,16:0:30,5
54,2020-01-14,3:2:36,5
55,2020-01-13,17:39:11,3
56,2020-01-13,4:47:20,3
57,2020-01-13,4:59:34,1
58,2020-01-13,7:28:18,3
59,2020-01-13,9:59:14,1
60,2020-01-13,8:55:44,3
61,2020-01-13,2:38:17,4
62,2020-01-13,19:39:50,2
63,2020-01-14,7:53:17,5
64,2020-01-14,2:36:53,4
65,2020-01-13,5:45:5,2
66,2020-01-13,15:34:24,5
67,2020-01-14,20:29:53,5
68,2020-01-13,12:8:33,4
69,2020-01-13,2:29:49,4
70,2020-01-13,0:45:35,5
71,2020-01-14,0:51:23,2
72,2020-01-15,10:12:8,2
73,2020-01-14,8:26:31,2
74,2020-01-14,12:42:37,3
75,2020-01-14,9:46:58,4
76,2020-01-14,6:11:30,4
77,2020-01-14,8:58:42,3
78,2020-01-14,0:28:41,5
79,2020-01-14,16:51:40,1
80,2020-01-14,19:4:12,5
81,2020-01-14,15:20:18,5
82,2020-01-14,5:54:16,4
83,2020-01-14,19:25:31,3
84,2020-01-14,18:45:28,5
85,2020-01-14,19:48:49,5
86,2020-01-14,21:8:26,2
87,2020-01-14,13:53:53,4
88,2020-01-15,12:5:34,3
89,2020-01-15,11:51:23,1
90,2020-01-15,0:47:45,1
91,2020-01-15,16:57:47,3
93,06:29:28,2020-01-19,6
93,06:30:32,2020-01-19,6
